color,X,Y
blue,2.54243,0.0259387
blue,2.4608,0.281044
blue,2.37758,0.536614
blue,2.28793,0.789229
blue,2.18702,1.03546
blue,2.07,1.2719
blue,1.93184,1.49541
blue,1.76896,1.70353
blue,1.58344,1.89255
blue,1.37731,2.06001
blue,1.15259,2.20347
blue,0.911312,2.32046
blue,0.658912,2.40764
blue,0.399629,2.46476
blue,0.133906,2.49332
blue,-0.133962,2.49331
blue,-0.399684,2.46475
blue,-0.658965,2.40763
blue,-0.911366,2.32045
blue,-1.15265,2.20345
blue,-1.37737,2.05999
blue,-1.58349,1.89253
blue,-1.76901,1.70352
blue,-1.93189,1.49539
blue,-2.07003,1.2719
blue,-2.18704,1.03548
blue,-2.28795,0.78925
blue,-2.37759,0.536633
blue,-2.46081,0.281048
blue,-2.54243,0.025914
