color,X,Y
blue,-1.41567,-5.35103
blue,-1.41651,-5.32418
blue,-1.41735,-5.29732
blue,-1.41818,-5.27046
blue,-1.41902,-5.2436
blue,-1.41986,-5.21675
blue,-1.4207,-5.18989
blue,-1.42154,-5.16303
blue,-1.42239,-5.13617
blue,-1.42323,-5.10932
blue,-1.42407,-5.08246
blue,-1.42491,-5.0556
blue,-1.42576,-5.02874
blue,-1.4266,-5.00189
blue,-1.42744,-4.97503
blue,-1.42829,-4.94817
blue,-1.42913,-4.92132
blue,-1.42997,-4.89446
blue,-1.43082,-4.8676
blue,-1.43166,-4.84074
blue,-1.4325,-4.81389
blue,-1.43334,-4.78703
blue,-1.43418,-4.76017
blue,-1.43502,-4.73331
blue,-1.43586,-4.70646
blue,-1.4367,-4.6796
blue,-1.43753,-4.65274
blue,-1.43837,-4.62589
blue,-1.4392,-4.59903
blue,-1.44004,-4.57217
blue,-1.44087,-4.54531
blue,-1.4417,-4.51846
blue,-1.44253,-4.4916
blue,-1.44335,-4.46474
blue,-1.44418,-4.43788
blue,-1.445,-4.41103
blue,-1.44582,-4.38417
blue,-1.44664,-4.35731
blue,-1.44746,-4.33045
blue,-1.44827,-4.30359
blue,-1.44908,-4.27674
blue,-1.44989,-4.24988
blue,-1.4507,-4.22302
blue,-1.45151,-4.19616
blue,-1.45231,-4.16931
blue,-1.45311,-4.14245
blue,-1.4539,-4.11559
blue,-1.4547,-4.08873
blue,-1.45549,-4.06187
blue,-1.45627,-4.03502
blue,-1.45706,-4.00816
blue,-1.45784,-3.9813
blue,-1.45861,-3.95444
blue,-1.45939,-3.92758
blue,-1.46016,-3.90072
blue,-1.46092,-3.87387
blue,-1.46169,-3.84701
blue,-1.46244,-3.82015
blue,-1.4632,-3.79329
blue,-1.46395,-3.76643
blue,-1.4647,-3.73957
blue,-1.46544,-3.71272
blue,-1.46618,-3.68586
blue,-1.46691,-3.659
blue,-1.46764,-3.63214
blue,-1.46836,-3.60528
blue,-1.46908,-3.57842
blue,-1.4698,-3.55156
blue,-1.47051,-3.5247
blue,-1.47121,-3.49784
blue,-1.47191,-3.47098
blue,-1.47261,-3.44412
blue,-1.4733,-3.41726
blue,-1.47398,-3.3904
blue,-1.47466,-3.36354
blue,-1.47533,-3.33669
blue,-1.476,-3.30983
blue,-1.47666,-3.28297
blue,-1.47732,-3.25611
blue,-1.47797,-3.22925
blue,-1.47861,-3.20238
blue,-1.47925,-3.17552
blue,-1.47988,-3.14866
blue,-1.48051,-3.1218
blue,-1.48113,-3.09494
blue,-1.48174,-3.06808
blue,-1.48235,-3.04122
blue,-1.48295,-3.01436
blue,-1.48354,-2.9875
blue,-1.48413,-2.96064
blue,-1.48471,-2.93378
blue,-1.48528,-2.90692
blue,-1.48584,-2.88006
blue,-1.4864,-2.85319
blue,-1.48695,-2.82633
blue,-1.4875,-2.79947
blue,-1.48803,-2.77261
blue,-1.48856,-2.74575
blue,-1.48908,-2.71888
blue,-1.4896,-2.69202
blue,-1.4901,-2.66516
blue,-1.4906,-2.6383
blue,-1.49109,-2.61144
blue,-1.49157,-2.58457
blue,-1.49205,-2.55771
blue,-1.49251,-2.53085
blue,-1.49297,-2.50398
blue,-1.49342,-2.47712
blue,-1.49386,-2.45026
blue,-1.49429,-2.42339
blue,-1.49471,-2.39653
blue,-1.49513,-2.36967
blue,-1.49554,-2.3428
blue,-1.49593,-2.31594
blue,-1.49632,-2.28908
blue,-1.4967,-2.26221
blue,-1.49707,-2.23535
blue,-1.49743,-2.20848
blue,-1.49779,-2.18162
blue,-1.49813,-2.15475
blue,-1.49847,-2.12789
blue,-1.4988,-2.10102
blue,-1.49912,-2.07416
blue,-1.49943,-2.04729
blue,-1.49974,-2.02043
blue,-1.50004,-1.99356
