color,X,Y
blue,32.3379,5.01814
blue,32.2735,4.87099
blue,32.2093,4.72379
blue,32.1451,4.57655
blue,32.0809,4.42931
blue,32.0167,4.28206
blue,31.9524,4.13484
blue,31.8881,3.98764
blue,31.8236,3.8405
blue,31.759,3.69343
blue,31.6942,3.54644
blue,31.6292,3.39955
blue,31.5639,3.25278
blue,31.4983,3.10614
blue,31.4324,2.95965
blue,31.3662,2.81333
blue,31.2995,2.66719
blue,31.2324,2.52125
blue,31.1648,2.37552
blue,31.0968,2.23003
blue,31.0282,2.08478
blue,30.9591,1.93977
blue,30.8894,1.79503
blue,30.8193,1.65053
blue,30.7486,1.5063
blue,30.6773,1.36234
blue,30.6055,1.21865
blue,30.5332,1.07523
blue,30.4603,0.932099
blue,30.3868,0.789252
blue,30.3128,0.646696
blue,30.2382,0.504435
blue,30.163,0.362475
blue,30.0873,0.220821
blue,30.011,0.0794772
blue,29.9341,-0.0615514
blue,29.8566,-0.20226
blue,29.7785,-0.342644
blue,29.6998,-0.482664
blue,29.6206,-0.622353
blue,29.5407,-0.76171
blue,29.4603,-0.900736
blue,29.3793,-1.03943
blue,29.2977,-1.17779
blue,29.2155,-1.31582
blue,29.1328,-1.45351
blue,29.0495,-1.59086
blue,28.9656,-1.72789
blue,28.8813,-1.86457
blue,28.7963,-2.00092
blue,28.7108,-2.13693
blue,28.6248,-2.2726
blue,28.5383,-2.40793
blue,28.4512,-2.54292
blue,28.3636,-2.67757
blue,28.2755,-2.81188
blue,28.1868,-2.94586
blue,28.0977,-3.07949
blue,28.008,-3.21279
blue,27.9179,-3.34574
blue,27.8272,-3.47835
blue,27.7361,-3.61062
blue,27.6444,-3.74255
blue,27.5523,-3.87414
blue,27.4597,-4.00538
blue,27.3666,-4.13629
blue,27.273,-4.26685
blue,27.179,-4.39708
blue,27.0845,-4.52696
blue,26.9895,-4.6565
blue,26.8941,-4.78571
blue,26.7982,-4.91457
blue,26.7018,-5.0431
blue,26.6051,-5.17128
blue,26.5078,-5.29913
blue,26.4101,-5.42665
blue,26.312,-5.55382
blue,26.2135,-5.68067
blue,26.1145,-5.80718
blue,26.0151,-5.93337
blue,25.9153,-6.05923
blue,25.8151,-6.18476
blue,25.7145,-6.30998
blue,25.6135,-6.43488
blue,25.5121,-6.55946
blue,25.4103,-6.68373
blue,25.3082,-6.80769
blue,25.2056,-6.93135
blue,25.1027,-7.0547
blue,24.9995,-7.17775
blue,24.8959,-7.3005
blue,24.7919,-7.42295
blue,24.6876,-7.54512
blue,24.5829,-7.66699
blue,24.478,-7.78857
blue,24.3727,-7.90987
blue,24.267,-8.03088
blue,24.1611,-8.15161
blue,24.0548,-8.27205
