s,X,Y,phi,kappa,w
-3.143803662698309154e+02,1.777998690464046216e-03,1.087568471156664440e+00,1.570973557450777047e+00,-4.169373407626235373e-03,1.500000000000000000e+00
-3.137516055345522545e+02,2.354677252235438164e-03,1.716329328718869673e+00,1.569001139046205084e+00,-2.104593523723082352e-03,1.500000000000000000e+00
-3.131228447992736506e+02,3.763383275201279653e-03,2.345088168921904970e+00,1.568326990663315046e+00,-3.977820341031899519e-05,1.500000000000000000e+00
-3.124940840639949897e+02,5.189546817897697228e-03,2.973847952335491485e+00,1.568938088883842008e+00,1.959605264174553874e-03,1.500000000000000000e+00
-3.118653233287163289e+02,5.841333023830942196e-03,3.602608195086847598e+00,1.570786879886343801e+00,3.921147056112430501e-03,1.500000000000000000e+00
-3.112365625934377249e+02,4.942508521168649006e-03,4.231367278854788694e+00,1.573877137552871286e+00,5.985545105773469078e-03,1.500000000000000000e+00
-3.106078018581590641e+02,1.666061573028430410e-03,4.860118679628945948e+00,1.578385946052670574e+00,8.356392533948788642e-03,1.500000000000000000e+00
-3.099790411228804032e+02,-4.913886557957387879e-03,5.488843849112304163e+00,1.584385465073987698e+00,1.072715387894339518e-02,1.500000000000000000e+00
-3.093502803876017992e+02,-1.569872606017867073e-02,6.117508579772941602e+00,1.591684059964872722e+00,1.240973495743052414e-02,1.500000000000000000e+00
-3.087215196523231384e+02,-3.138852510579404759e-02,6.746072546567163819e+00,1.599987976224412689e+00,1.400396102209854748e-02,1.500000000000000000e+00
-3.080927589170445344e+02,-5.262167621452076144e-02,7.374479546442227473e+00,1.609381766789715229e+00,1.615024268400832783e-02,1.500000000000000000e+00
-3.074639981817658736e+02,-8.024371216724784928e-02,8.002633667128227657e+00,1.620383296863573186e+00,1.884449596872088753e-02,1.500000000000000000e+00
-3.068352374464872128e+02,-1.153057083636017943e-01,8.630406395561736943e+00,1.633071979686032904e+00,2.136607112743893130e-02,1.500000000000000000e+00
-3.062064767112086088e+02,-1.587458768383012420e-01,9.257678866585241195e+00,1.646954221819999509e+00,2.279156225939437189e-02,1.500000000000000000e+00
-3.055777159759299479e+02,-2.111679088413007666e-01,9.884231472496498583e+00,1.661734633028755459e+00,2.422499223157631443e-02,1.500000000000000000e+00
-3.049489552406512871e+02,-2.731652604161333708e-01,1.050996170050858147e+01,1.677627398831918137e+00,2.654002102893030651e-02,1.500000000000000000e+00
-3.043201945053726831e+02,-3.455918572716902282e-01,1.113452468460782896e+01,1.695134867451317806e+00,2.915118079420063457e-02,1.500000000000000000e+00
-3.036914337700940223e+02,-4.294398461543224577e-01,1.175763297486254189e+01,1.714159824305898638e+00,3.073996743143310104e-02,1.500000000000000000e+00
-3.030626730348153615e+02,-5.252816742456387633e-01,1.237904635611068471e+01,1.733484033177500550e+00,3.072797181528646657e-02,1.500000000000000000e+00
-3.024339122995367575e+02,-6.331043894800656435e-01,1.299845423447516168e+01,1.752801939146162447e+00,3.071134315326085051e-02,1.500000000000000000e+00
-3.018051515642580966e+02,-7.527960010599319407e-01,1.361568711198419912e+01,1.771748037472640425e+00,2.955575651452776315e-02,1.500000000000000000e+00
-3.011763908289794927e+02,-8.839424230446030206e-01,1.423061646650938350e+01,1.789969271290117181e+00,2.840378276745297859e-02,1.500000000000000000e+00
-3.005476300937008318e+02,-1.025970028610554641e+00,1.484305643145174436e+01,1.806979173903209945e+00,2.486143883476769206e-02,1.500000000000000000e+00
-2.999188693584221710e+02,-1.177554742976166358e+00,1.545325365289376052e+01,1.821085913356674801e+00,2.001209254427295178e-02,1.500000000000000000e+00
-2.992901086231435670e+02,-1.336818909986313031e+00,1.606154994280904447e+01,1.832126945717143407e+00,1.492758337676443510e-02,1.500000000000000000e+00
-2.986613478878649062e+02,-1.501733787736613701e+00,1.666822568201148513e+01,1.839703150398324327e+00,9.175187537436844606e-03,1.500000000000000000e+00
-2.980325871525862453e+02,-1.670189714769597211e+00,1.727409713903738009e+01,1.843666185503349153e+00,3.430378495654592009e-03,1.500000000000000000e+00
-2.974038264173076413e+02,-1.839868691651758370e+00,1.787945294404321217e+01,1.843807220097632316e+00,-3.056557318411455733e-03,1.500000000000000000e+00
-2.967750656820289805e+02,-2.008411327069873131e+00,1.848523162626578653e+01,1.839821060188806978e+00,-9.620831814548999258e-03,1.500000000000000000e+00
-2.961463049467503197e+02,-2.173277704181191261e+00,1.909202940533575088e+01,1.831605136676505818e+00,-1.682566071865451013e-02,1.500000000000000000e+00
-2.955175442114717157e+02,-2.331696355358221062e+00,1.970050323665740066e+01,1.818567228101761746e+00,-2.464750002877929072e-02,1.500000000000000000e+00
-2.948887834761930549e+02,-2.480677237088147802e+00,2.031140561386731491e+01,1.800605178682123997e+00,-3.253200492589816001e-02,1.500000000000000000e+00
-2.942600227409143940e+02,-2.617130373332402726e+00,2.092531668289805680e+01,1.777545181771675198e+00,-4.081790217058615250e-02,1.500000000000000000e+00
-2.936312620056357900e+02,-2.737732160176674423e+00,2.154227575270335748e+01,1.749257368833990300e+00,-4.918827432755370349e-02,1.500000000000000000e+00
-2.930025012703571292e+02,-2.839213085806566284e+00,2.216301487989911578e+01,1.715437738538973411e+00,-5.859892668290280632e-02,1.500000000000000000e+00
-2.923737405350784684e+02,-2.917710510036118254e+00,2.278676931356443447e+01,1.675496055357232228e+00,-6.848292030635361183e-02,1.500000000000000000e+00
-2.917449797997998644e+02,-2.969314413104673811e+00,2.341330515879338137e+01,1.629679816508876611e+00,-7.552360380580508403e-02,1.500000000000000000e+00
-2.911162190645212036e+02,-2.991217481799930855e+00,2.404184767571037185e+01,1.581271762724225871e+00,-7.845772559668930113e-02,1.500000000000000000e+00
-2.904874583292425996e+02,-2.982103591054853453e+00,2.467006350001990356e+01,1.530965077714333322e+00,-8.191674096589283971e-02,1.500000000000000000e+00
-2.898586975939639387e+02,-2.940226151829137269e+00,2.529794380201237303e+01,1.476430449867537797e+00,-9.145891523624583019e-02,1.500000000000000000e+00
-2.892299368586852779e+02,-2.862438976232386079e+00,2.592139990488955092e+01,1.415880577686875030e+00,-1.012782335897987329e-01,1.500000000000000000e+00
-2.886011761234066739e+02,-2.745572009933430202e+00,2.653844857695678883e+01,1.351683434664813444e+00,-9.947254267997282517e-02,1.500000000000000000e+00
-2.879724153881280131e+02,-2.590290781420564237e+00,2.714752957017702784e+01,1.291411245061307111e+00,-9.228300854374377193e-02,1.500000000000000000e+00
-2.873436546528493523e+02,-2.399903391744707459e+00,2.774673846872697069e+01,1.235716740129340296e+00,-8.421426681405026760e-02,1.500000000000000000e+00
-2.867148939175707483e+02,-2.178273172399640689e+00,2.833465408044803269e+01,1.185899117132018565e+00,-7.440688487259071449e-02,1.500000000000000000e+00
-2.860861331822920874e+02,-1.928897306010349144e+00,2.891265081650563218e+01,1.142039870020269410e+00,-6.500897361720044121e-02,1.500000000000000000e+00
-2.854573724470134266e+02,-1.656665903159727948e+00,2.947900660405145956e+01,1.104549059442919257e+00,-5.428332195672645050e-02,1.500000000000000000e+00
-2.848286117117348226e+02,-1.365008011371267482e+00,3.003623048508893234e+01,1.073751490801073682e+00,-4.368403202262911150e-02,1.500000000000000000e+00
-2.841998509764561618e+02,-1.058129812826092531e+00,3.058521468976607594e+01,1.049390863080996716e+00,-3.414133022396176331e-02,1.500000000000000000e+00
-2.835710902411775578e+02,-7.396078817933463556e-01,3.112734847038305475e+01,1.030732063379871777e+00,-2.521208185692221451e-02,1.500000000000000000e+00
-2.829423295058988970e+02,-4.125326689849256323e-01,3.166435773782959728e+01,1.017634780559753871e+00,-1.694801705897102176e-02,1.500000000000000000e+00
-2.823135687706202361e+02,-7.962015856011335491e-02,3.219789191776516901e+01,1.008861267230584113e+00,-1.095091251816895581e-02,1.500000000000000000e+00
-2.816848080353416321e+02,2.568184063069448020e-01,3.272890120223637211e+01,1.003865662337660281e+00,-4.940602405509967286e-03,1.500000000000000000e+00
-2.810560473000629713e+02,5.951285375281374357e-01,3.325898749534888310e+01,1.001965871588015533e+00,-1.487548844818059037e-03,1.500000000000000000e+00
-2.804272865647843105e+02,9.338670958736101646e-01,3.378865098227485220e+01,1.001974396501889242e+00,1.515515042972984594e-03,1.500000000000000000e+00
-2.797985258295057065e+02,1.272105870023254370e+00,3.431861682651584289e+01,1.003716723968492541e+00,3.461960487985635444e-03,1.500000000000000000e+00
-2.791697650942270457e+02,1.609242020752425173e+00,3.484935673247005639e+01,1.006124572142551798e+00,4.196912529542317673e-03,1.500000000000000000e+00
-2.785410043589483848e+02,1.944955476048721765e+00,3.538095093753864262e+01,1.008990383821278147e+00,4.813254788019354947e-03,1.500000000000000000e+00
-2.779122436236697808e+02,2.279121205828944952e+00,3.591355227442655718e+01,1.011878049257905587e+00,4.372064720556951938e-03,1.500000000000000000e+00
-2.772834828883911200e+02,2.611827249929399741e+00,3.644707930936482398e+01,1.014488285681863555e+00,3.930657924853295238e-03,1.500000000000000000e+00
-2.766547221531125160e+02,2.943212408673754776e+00,3.698141536374905769e+01,1.016787581829436293e+00,3.341678115612777868e-03,1.500000000000000000e+00
-2.760259614178338552e+02,3.273478873345150308e+00,3.751645362078939883e+01,1.018685430915325485e+00,2.695135343484466976e-03,1.500000000000000000e+00
-2.753972006825551944e+02,3.602840720560245291e+00,3.805205536408720235e+01,1.020180015505619098e+00,2.077521752244863764e-03,1.500000000000000000e+00
