s,X,Y,phi,kappa,w
-2.968580605519916844e+02,-8.387156597124167164e-04,1.063575269421672465e+00,1.571663544453922423e+00,6.117007040877312646e-03,1.500000000000000000e+00
-2.962643444164758080e+02,-2.312223997301212069e-03,1.657291416367147940e+00,1.574691497357090020e+00,4.082906779841953028e-03,1.500000000000000000e+00
-2.956706282809599884e+02,-5.224929630384563678e-03,2.250999221787929994e+00,1.576511698621047675e+00,2.048648737110592751e-03,1.500000000000000000e+00
-2.950769121454441120e+02,-8.859897897107676598e-03,2.844703048989983607e+00,1.577125469691165627e+00,2.366828045628173446e-05,1.500000000000000000e+00
-2.944831960099282355e+02,-1.250336165717188912e-02,3.438407423536665064e+00,1.576541278762011666e+00,-1.991581010665157640e-03,1.500000000000000000e+00
-2.938894798744123591e+02,-1.544481411399428392e-02,4.032116936461219936e+00,1.574760610651194659e+00,-4.006772032083959212e-03,1.500000000000000000e+00
-2.932957637388965395e+02,-1.697565806506980135e-02,4.625828651851421114e+00,1.571792596470887204e+00,-5.990927835439802465e-03,1.500000000000000000e+00
-2.927020476033806631e+02,-1.639471688285901174e-02,5.219544225971969098e+00,1.567646794159260892e+00,-7.974651390497442677e-03,1.500000000000000000e+00
-2.921083314678647866e+02,-1.300170554400105483e-02,5.813249173370516942e+00,1.562312078897187817e+00,-1.003790052178520249e-02,1.500000000000000000e+00
-2.915146153323489671e+02,-6.069064095620825376e-03,6.406921810576265308e+00,1.555713575155146744e+00,-1.219005850024288892e-02,1.500000000000000000e+00
-2.909208991968330906e+02,5.160149349133875615e-03,7.000534726157097154e+00,1.547837176472180554e+00,-1.434214901668579532e-02,1.500000000000000000e+00
-2.903271830613172142e+02,2.144690704578904733e-02,7.594016628799755253e+00,1.538664034730572450e+00,-1.656136427025219765e-02,1.500000000000000000e+00
-2.897334669258013378e+02,4.356870293551817069e-02,8.187319008273112431e+00,1.528171457801047683e+00,-1.878407193459884217e-02,1.500000000000000000e+00
-2.891397507902855182e+02,7.230678844842924891e-02,8.780335989354956183e+00,1.516346623126550996e+00,-2.109963880088598295e-02,1.500000000000000000e+00
-2.885460346547696417e+02,1.084729852142432560e-01,9.372941500224831302e+00,1.503098580107616655e+00,-2.352900134914820071e-02,1.500000000000000000e+00
-2.879523185192537653e+02,1.529149260181693060e-01,9.964996928733794945e+00,1.488406766072232434e+00,-2.596123755446199527e-02,1.500000000000000000e+00
-2.873586023837379457e+02,2.064958551582114499e-01,1.055627751775511669e+01,1.472162364794437295e+00,-2.877889783177124683e-02,1.500000000000000000e+00
-2.867648862482220693e+02,2.701722294407497560e-01,1.114656163042993420e+01,1.454231597732695391e+00,-3.162400548959679036e-02,1.500000000000000000e+00
-2.861711701127061929e+02,3.449198694334442150e-01,1.173555534956593149e+01,1.434623403844839551e+00,-3.437276985330876139e-02,1.500000000000000000e+00
-2.855774539771903164e+02,4.316696845404209282e-01,1.232289980904611859e+01,1.413430914685155138e+00,-3.701960132771896228e-02,1.500000000000000000e+00
-2.849837378416744968e+02,5.313028501199086318e-01,1.290816898506058585e+01,1.390661052649181384e+00,-3.968768075745798818e-02,1.500000000000000000e+00
-2.843900217061586204e+02,6.447564139007614381e-01,1.349098774776216025e+01,1.366057636741186743e+00,-4.323969842858110813e-02,1.500000000000000000e+00
-2.837963055706427440e+02,7.731184534874555592e-01,1.407062779465615066e+01,1.339306030254119984e+00,-4.688381060174431902e-02,1.500000000000000000e+00
-2.832025894351269244e+02,9.175578220709803556e-01,1.464648399483233732e+01,1.310487136919825657e+00,-4.974300513654300593e-02,1.500000000000000000e+00
-2.826088732996110480e+02,1.078933256989250022e+00,1.521786841129037526e+01,1.280402049625731342e+00,-5.160606181965219502e-02,1.500000000000000000e+00
-2.820151571640951715e+02,1.257702403209679742e+00,1.578392719881288464e+01,1.249198444889206616e+00,-5.352887283142193642e-02,1.500000000000000000e+00
-2.814214410285792951e+02,1.454475886433866716e+00,1.634414845815456374e+01,1.216519240261490831e+00,-5.662351200983094940e-02,1.500000000000000000e+00
-2.808277248930634755e+02,1.669926236047470924e+00,1.689732404292948331e+01,1.181945771046755356e+00,-5.985535781653623932e-02,1.500000000000000000e+00
-2.802340087575475991e+02,1.904852453619630293e+00,1.744245884402110747e+01,1.145717131225725272e+00,-6.099046079735911258e-02,1.500000000000000000e+00
-2.796402926220317227e+02,2.159338791021248039e+00,1.797881359665694134e+01,1.110000909051530371e+00,-5.933944482120399877e-02,1.500000000000000000e+00
-2.790465764865159031e+02,2.432588784419861039e+00,1.850592217530765993e+01,1.075238332252094642e+00,-5.776961066430979369e-02,1.500000000000000000e+00
-2.784528603510000266e+02,2.723899683881299438e+00,1.902325070883040325e+01,1.040447149712943054e+00,-5.966826793141735696e-02,1.500000000000000000e+00
-2.778591442154841502e+02,3.033335317558948585e+00,1.952990624332442593e+01,1.004364616414599620e+00,-6.189293260157259502e-02,1.500000000000000000e+00
-2.772654280799682738e+02,3.361121837632800702e+00,2.002481187349759395e+01,9.672238470122460630e-01,-6.198687906152874211e-02,1.500000000000000000e+00
-2.766717119444524542e+02,3.706859491281611518e+00,2.050737034458490626e+01,9.312606868020295581e-01,-5.917996394189332238e-02,1.500000000000000000e+00
-2.760779958089365778e+02,4.069432545825289793e+00,2.097760667757055941e+01,8.969344285502194314e-01,-5.644771540888941092e-02,1.500000000000000000e+00
-2.754842796734207013e+02,4.447626925216125571e+00,2.143523475419338453e+01,8.632592461116710414e-01,-5.728937967076002530e-02,1.500000000000000000e+00
-2.748905635379048817e+02,4.841180836072438431e+00,2.187975044101666100e+01,8.288823411299851562e-01,-5.852426506331646905e-02,1.500000000000000000e+00
-2.742968474023890053e+02,5.249911990566710429e+00,2.231031156549039807e+01,7.938992268913794836e-01,-5.864647903122817418e-02,1.500000000000000000e+00
-2.737031312668731289e+02,5.673353563749497397e+00,2.272639700861969203e+01,7.595175808495391312e-01,-5.718646162263633231e-02,1.500000000000000000e+00
-2.731094151313573093e+02,6.110734430185433830e+00,2.312791973641726173e+01,7.259811650022925944e-01,-5.578701073107227709e-02,1.500000000000000000e+00
-2.725156989958414329e+02,6.561179028325144991e+00,2.351463923360923758e+01,6.928326810333380603e-01,-5.602891802025307399e-02,1.500000000000000000e+00
-2.719219828603255564e+02,7.024254166507739150e+00,2.388617482130122838e+01,6.594321727238356967e-01,-5.649472213283774497e-02,1.500000000000000000e+00
-2.713282667248096800e+02,7.499519950991447637e+00,2.424196762285441409e+01,6.257818772480340241e-01,-5.664509185287133070e-02,1.500000000000000000e+00
-2.707345505892938604e+02,7.986464507513773903e+00,2.458157913390040150e+01,5.922545448139330260e-01,-5.630724667395295424e-02,1.500000000000000000e+00
