s,X,Y,phi,kappa,w
-3.121776467823189591e+02,5.520048293988362789e-03,-6.414105331839227127e-04,1.578238772314376925e+00,-7.394720450576391761e-03,1.500000000000000000e+00
-3.115532915043096409e+02,1.952236907056776466e-03,6.237010104135056743e-01,1.574824935295904282e+00,-5.422151878410719217e-03,1.500000000000000000e+00
-3.109289362263002658e+02,4.989621136222238641e-04,1.248052621124814410e+00,1.571414743949800519e+00,-5.501671692860303498e-03,1.500000000000000000e+00
-3.103045809482909476e+02,1.159618155427183557e-03,1.872397207257203933e+00,1.568232538759105843e+00,-3.907926323117197863e-03,1.500000000000000000e+00
-3.096802256702816294e+02,3.322581560213976135e-03,2.496743846923488608e+00,1.566750791273989085e+00,-8.387405618699009030e-04,1.500000000000000000e+00
-3.090558703922722543e+02,5.812611568014499665e-03,3.121110049863104141e+00,1.567184601390283705e+00,2.218803718334621481e-03,1.500000000000000000e+00
-3.084315151142629361e+02,7.440934767322554197e-03,3.745453813706643320e+00,1.569502968719806546e+00,5.207687320400332907e-03,1.500000000000000000e+00
-3.078071598362536179e+02,7.039221846287859255e-03,4.369816318283143097e+00,1.573687480654747617e+00,8.196343072592827614e-03,1.500000000000000000e+00
-3.071828045582442428e+02,3.453786242457402168e-03,4.994158731629125825e+00,1.579665442692073096e+00,1.087680766964427802e-02,1.500000000000000000e+00
-3.065584492802349246e+02,-4.371073823212770146e-03,5.618463644668131529e+00,1.587261787361275323e+00,1.345664149553778277e-02,1.500000000000000000e+00
-3.059340940022255495e+02,-1.744454994702725886e-02,6.242676831242639501e+00,1.596519963400759412e+00,1.649287836229654941e-02,1.500000000000000000e+00
-3.053097387242162313e+02,-3.696635230065437733e-02,6.866710595174966514e+00,1.608019623122850517e+00,2.034487118091707694e-02,1.500000000000000000e+00
-3.046853834462069130e+02,-6.441447523432536348e-02,7.490477472614657906e+00,1.621924491152774817e+00,2.419396479479734088e-02,1.500000000000000000e+00
-3.040610281681975380e+02,-1.012208493266512632e-01,8.113685716138746784e+00,1.637953712624825364e+00,2.713430368891022251e-02,1.500000000000000000e+00
-3.034366728901882198e+02,-1.485848770291080811e-01,8.736252887515988164e+00,1.655807558244579702e+00,3.005541916185189288e-02,1.500000000000000000e+00
-3.028123176121789015e+02,-2.076636969818941580e-01,9.357792094023203333e+00,1.675846540555312236e+00,3.497646327799889404e-02,1.500000000000000000e+00
-3.021879623341695265e+02,-2.803156034680165942e-01,9.977876042090548125e+00,1.699676366815259465e+00,4.136179654660915306e-02,1.500000000000000000e+00
-3.015636070561602082e+02,-3.689612180522203744e-01,1.059592777345626047e+01,1.727470045572288670e+00,4.732528539870422407e-02,1.500000000000000000e+00
-3.009392517781508900e+02,-4.757511864699572879e-01,1.121105833957034470e+01,1.758354196498433053e+00,5.162308663891354565e-02,1.500000000000000000e+00
-3.003148965001415149e+02,-6.023134289113974971e-01,1.182243582428488260e+01,1.791951550804894211e+00,5.600866801597233907e-02,1.500000000000000000e+00
-2.996905412221321967e+02,-7.504294918361902322e-01,1.242919676336218693e+01,1.829504562008291479e+00,6.516319684712047755e-02,1.500000000000000000e+00
-2.990661859441228216e+02,-9.230322058385230788e-01,1.302913234720410074e+01,1.873453663310413075e+00,7.566081438416032146e-02,1.500000000000000000e+00
-2.984418306661135034e+02,-1.123733919321080021e+00,1.362021931087387294e+01,1.923675342382656250e+00,8.382032615279134957e-02,1.500000000000000000e+00
-2.978174753881041852e+02,-1.355087795972166775e+00,1.420018161699051085e+01,1.977579319365594168e+00,8.887153171754713643e-02,1.500000000000000000e+00
-2.971931201100948101e+02,-1.618084802801068145e+00,1.476605562374070146e+01,2.034690572888022242e+00,9.415200326985241619e-02,1.500000000000000000e+00
-2.965687648320854919e+02,-1.914148177015210672e+00,1.531606622775694682e+01,2.095030813199544539e+00,9.911635016141334686e-02,1.500000000000000000e+00
-2.959444095540761737e+02,-2.243369686691862874e+00,1.584620740150723073e+01,2.158575618621978442e+00,1.045715105271183970e-01,1.500000000000000000e+00
-2.953200542760667986e+02,-2.606394877742967076e+00,1.635383903526649263e+01,2.224748934541902035e+00,1.060893704307840635e-01,1.500000000000000000e+00
-2.946956989980574804e+02,-3.002268858593435397e+00,1.683640920481996162e+01,2.290853191279778933e+00,1.057222746919007639e-01,1.500000000000000000e+00
-2.940713437200481621e+02,-3.429012407646034433e+00,1.729173752319093893e+01,2.356522247580955298e+00,1.028219785522055396e-01,1.500000000000000000e+00
-2.934469884420387871e+02,-3.883876626478934835e+00,1.771883864212259851e+01,2.417867647889822447e+00,9.383199709706903369e-02,1.500000000000000000e+00
-2.928226331640294688e+02,-4.363594152268988502e+00,1.811907350716332488e+01,2.473792094908074723e+00,8.526505054493389857e-02,1.500000000000000000e+00
-2.921982778860201506e+02,-4.863400423100071812e+00,1.849269527410106306e+01,2.524858936825103317e+00,7.851617351673116640e-02,1.500000000000000000e+00
-2.915739226080107755e+02,-5.381266102125648487e+00,1.884160821841217270e+01,2.571876001127601175e+00,7.210971142033761883e-02,1.500000000000000000e+00
-2.909495673300014573e+02,-5.914209361552828170e+00,1.916684283512372389e+01,2.614522495547814351e+00,6.332440818940955618e-02,1.500000000000000000e+00
-2.903252120519921391e+02,-6.459533256570126447e+00,1.947075525092898118e+01,2.650662291544185312e+00,5.246783994574179960e-02,1.500000000000000000e+00
-2.897008567739827640e+02,-7.014726238112295675e+00,1.975674055937590978e+01,2.680127662170367575e+00,4.273342470128789483e-02,1.500000000000000000e+00
-2.890765014959734458e+02,-7.577336130285413418e+00,2.002753860306426148e+01,2.705393548918139324e+00,3.819878689973751906e-02,1.500000000000000000e+00
-2.884521462179640707e+02,-8.146172301609892585e+00,2.028480888826538120e+01,2.727835583982337830e+00,3.370097996036627852e-02,1.500000000000000000e+00
-2.878277909399547525e+02,-8.720371628649873585e+00,2.053011221101971273e+01,2.747328113617584222e+00,2.858491556889328558e-02,1.500000000000000000e+00
